chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
Senate,87,1961,0.5468423076923077,0.44761904761904764,0.4307692307692308,0.475,0.3333333333333333,-0.06957142857142856,0.09228571428571429,-0.2778923076923077,0.38735384615384616,0.26895,-0.3872,0.2714594594594595,-0.3948648648648649,0.23800000000000002,-0.2926666666666667,-0.3761627906976744,0.15641860465116278,-0.08581818181818182,0.8387272727272728
Senate,88,1963,0.5695981554677207,0.4215686274509804,0.37681159420289856,0.5151515151515151,0.30392156862745096,-0.1068921568627451,0.09161764705882353,-0.2911739130434783,0.3408840579710145,0.2784242424242424,-0.42957575757575756,0.28246666666666664,-0.44326666666666664,0.23800000000000002,-0.2926666666666667,-0.37727083333333333,0.13441666666666666,-0.09438095238095238,0.8128095238095238
Senate,89,1965,0.5768471861471862,0.3883495145631068,0.35714285714285715,0.45454545454545453,0.27184466019417475,-0.11245631067961165,0.10345631067961165,-0.2972714285714286,0.33525714285714286,0.2795757575757576,-0.3882424242424242,0.2800344827586207,-0.4193448275862069,0.27625,-0.16275,-0.3833958333333333,0.1166875,-0.10936363636363636,0.8121363636363637
Senate,90,1967,0.55190625,0.38613861386138615,0.34375,0.4594594594594595,0.26732673267326734,-0.09672277227722773,0.06000990099009901,-0.29890625,0.3414375,0.253,-0.4267837837837838,0.25018181818181817,-0.4587878787878788,0.27625,-0.16275,-0.36763636363636365,0.12868181818181817,-0.1477,0.8095
Senate,91,1969,0.5398926332288401,0.39215686274509803,0.3448275862068966,0.45454545454545453,0.18627450980392157,-0.056156862745098034,0.004264705882352943,-0.289051724137931,0.346,0.2508409090909091,-0.44620454545454546,0.24692105263157896,-0.49336842105263157,0.27566666666666667,-0.1475,-0.362475,0.120075,-0.12588888888888888,0.8480555555555556
Senate,92,1971,0.5199722222222223,0.42718446601941745,0.375,0.4888888888888889,0.13861386138613863,-0.04827184466019417,-0.001873786407766988,-0.28675,0.35578571428571426,0.23322222222222222,-0.4587555555555555,0.2266923076923077,-0.5066410256410256,0.27566666666666667,-0.1475,-0.3653783783783784,0.11151351351351352,-0.13363157894736843,0.8314736842105264
Senate,93,1973,0.5906793145654834,0.3431372549019608,0.2807017543859649,0.4186046511627907,0.1,-0.0646470588235294,0.008686274509803924,-0.3258421052631579,0.2957719298245614,0.26483720930232557,-0.38372093023255816,0.23765714285714287,-0.4929428571428571,0.38375,0.09412500000000001,-0.38921428571428573,0.1029047619047619,-0.1484,0.8358
Senate,94,1975,0.5953830888697152,0.32673267326732675,0.26229508196721313,0.42105263157894735,0.09090909090909091,-0.08825742574257425,0.028900990099009902,-0.32454098360655736,0.2748688524590164,0.2708421052631579,-0.3782894736842105,0.2395,-0.477875,0.438,0.15283333333333335,-0.3851590909090909,0.08218181818181818,-0.1676470588235294,0.7735882352941177
Senate,95,1977,0.5886724696356276,0.33653846153846156,0.27692307692307694,0.42105263157894735,0.17475728155339806,-0.10059615384615385,0.044730769230769234,-0.31964615384615386,0.29378461538461537,0.26902631578947367,-0.40557894736842104,0.23734375,-0.51028125,0.438,0.15283333333333335,-0.3839565217391304,0.10276086956521739,-0.16394736842105262,0.7562631578947369
Senate,96,1979,0.5894985531211244,0.3465346534653465,0.288135593220339,0.4146341463414634,0.05,-0.06955445544554455,0.0024653465346534684,-0.312864406779661,0.26228813559322034,0.27663414634146344,-0.3949756097560976,0.25771428571428573,-0.47362857142857145,0.387,0.06383333333333334,-0.3545952380952381,0.07302380952380952,-0.20976470588235294,0.7298823529411764
Senate,97,1981,0.6098228663446055,0.3465346534653465,0.32608695652173914,0.35185185185185186,0,0.030613861386138617,-0.04103960396039604,-0.29930434782608695,0.2607608695652174,0.3105185185185185,-0.3168148148148148,0.28738636363636366,-0.43268181818181817,0.4123,0.193,-0.3334242424242424,0.08112121212121212,-0.21269230769230768,0.7167692307692308
